timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604260443487,2,home-13,200,OK,Thread Group 1-1,text,true,,30406,412,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,2,0,0
1604260443487,2,home-14,200,OK,Thread Group 1-1,text,true,,44438,411,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,2,0,0
1604260443487,2,home-15,200,OK,Thread Group 1-1,text,true,,2730,417,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,2,0,0
1604260443488,1,home-16,200,OK,Thread Group 1-1,text,true,,2141,408,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,1,0,0
1604260443489,6,home-17,200,OK,Thread Group 1-1,text,true,,23342,478,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637322025772739184,6,0,0
1604260443489,1,home-18,200,OK,Thread Group 1-1,bin,true,,839,401,1,1,http://localhost/blog/Content/images/blog/rssButton.png,1,0,0
1604260443490,157,home-19,200,OK,Thread Group 1-1,bin,true,,1475,425,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,157,0,93
1604260443490,156,home-20,200,OK,Thread Group 1-1,bin,true,,1738,425,1,1,http://www.gravatar.com/avatar/2fa808609fde06076e7121ee7861fbf6.jpg?d=identicon,156,0,93
1604260443734,130,home,200,OK,Thread Group 1-1,text,true,,39227,10051,1,1,http://localhost/blog/,40,0,0
1604260443734,40,home-0,200,OK,Thread Group 1-1,text,true,,24796,368,1,1,http://localhost/blog/,40,0,0
1604260443780,11,home-1,304,Not Modified,Thread Group 1-1,,true,,205,476,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,0
1604260443780,62,home-2,200,OK,Thread Group 1-1,text,true,,10090,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",55,0,0
1604260443780,12,home-3,304,Not Modified,Thread Group 1-1,,true,,205,490,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1604260443780,9,home-4,304,Not Modified,Thread Group 1-1,,true,,205,487,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604260443780,11,home-5,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1604260443780,13,home-6,304,Not Modified,Thread Group 1-1,,true,,205,504,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,3
1604260443789,4,home-7,304,Not Modified,Thread Group 1-1,,true,,276,410,1,1,http://localhost/blog/en-us.res.axd,0,0,0
1604260443791,3,home-8,304,Not Modified,Thread Group 1-1,,true,,204,487,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
1604260443792,2,home-9,304,Not Modified,Thread Group 1-1,,true,,204,484,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,0,0,0
1604260443792,2,home-10,304,Not Modified,Thread Group 1-1,,true,,204,488,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1604260443793,2,home-11,304,Not Modified,Thread Group 1-1,,true,,204,480,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1604260443793,3,home-12,304,Not Modified,Thread Group 1-1,,true,,204,472,1,1,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1604260443795,2,home-13,304,Not Modified,Thread Group 1-1,,true,,205,497,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,0
1604260443795,2,home-14,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
1604260443795,4,home-15,304,Not Modified,Thread Group 1-1,,true,,205,502,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,0
1604260443795,3,home-16,304,Not Modified,Thread Group 1-1,,true,,205,493,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,0,0,0
1604260443796,5,home-17,304,Not Modified,Thread Group 1-1,,true,,245,528,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637322025772739184,0,0,1
1604260443797,2,home-18,304,Not Modified,Thread Group 1-1,,true,,205,486,1,1,http://localhost/blog/Content/images/blog/rssButton.png,0,0,0
1604260443798,66,home-19,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,0,0,0
1604260443798,66,home-20,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/2fa808609fde06076e7121ee7861fbf6.jpg?d=identicon,0,0,0
1604260443887,181,home,200,OK,Thread Group 1-1,text,true,,39227,10051,1,1,http://localhost/blog/,45,0,0
